n,score,steps,pas_pomme,cause,temps_jeu_s,sec_par_pomme,temps_cpu_ms
1,82,941,11.48,corps,188.2,2.30,82.7
2,98,1482,15.12,corps,296.4,3.02,144.5
3,53,668,12.60,corps,133.6,2.52,45.7
4,103,1430,13.88,corps,286.0,2.78,145.1
5,101,1584,15.68,corps,316.8,3.14,171.7
6,54,790,14.63,corps,158.0,2.93,55.2
7,81,1095,13.52,corps,219.0,2.70,100.9
8,88,1079,12.26,corps,215.8,2.45,104.8
9,95,1215,12.79,corps,243.0,2.56,119.0
10,80,1031,12.89,corps,206.2,2.58,98.3
11,83,1215,14.64,corps,243.0,2.93,122.2
12,99,1446,14.61,corps,289.2,2.92,144.6
13,77,1092,14.18,corps,218.4,2.84,100.1
14,89,1084,12.18,corps,216.8,2.44,104.5
15,82,1149,14.01,corps,229.8,2.80,111.6
16,98,1223,12.48,corps,244.6,2.50,127.1
17,72,734,10.19,corps,146.8,2.04,58.1
18,89,1244,13.98,corps,248.8,2.80,117.3
19,53,582,10.98,corps,116.4,2.20,37.9
20,75,1037,13.83,corps,207.4,2.77,92.6
21,75,874,11.65,corps,174.8,2.33,74.9
22,108,1550,14.35,corps,310.0,2.87,163.9
23,84,1119,13.32,corps,223.8,2.66,107.8
24,74,998,13.49,corps,199.6,2.70,90.1
25,92,1275,13.86,corps,255.0,2.77,125.1
26,53,507,9.57,corps,101.4,1.91,32.3
27,101,1458,14.44,corps,291.6,2.89,143.2
28,80,1115,13.94,corps,223.0,2.79,99.2
29,85,1254,14.75,corps,250.8,2.95,122.8
30,77,915,11.88,corps,183.0,2.38,78.7
31,76,962,12.66,corps,192.4,2.53,84.1
32,89,1170,13.15,corps,234.0,2.63,110.2
33,98,1577,16.09,corps,315.4,3.22,158.4
34,103,1429,13.87,corps,285.8,2.77,141.2
35,99,1589,16.05,corps,317.8,3.21,160.0
36,81,899,11.10,corps,179.8,2.22,81.4
37,78,939,12.04,corps,187.8,2.41,85.9
38,80,1152,14.40,corps,230.4,2.88,109.6
39,90,1080,12.00,corps,216.0,2.40,105.8
40,102,1484,14.55,corps,296.8,2.91,150.1
41,101,1701,16.84,corps,340.2,3.37,176.0
42,79,996,12.61,corps,199.2,2.52,89.4
43,91,1229,13.51,corps,245.8,2.70,116.7
44,103,1756,17.05,corps,351.2,3.41,181.4
45,83,1045,12.59,corps,209.0,2.52,91.1
46,73,872,11.95,corps,174.4,2.39,73.1
47,100,1355,13.55,corps,271.0,2.71,142.7
48,98,1719,17.54,corps,343.8,3.51,175.5
49,86,1183,13.76,corps,236.6,2.75,111.1
50,86,1263,14.69,corps,252.6,2.94,120.7
